N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Irrigation_Type,Fertilizer_Used,Previous_Crop,Recommended_Crop
33,26,40,7.69,51.5,Clay,1.32,1.84,21.83,42.21,1872.48,7.3,4.86,Central,2262,Kharif,Sprinkler,151.19,Rice,Rice
28,69,101,4.98,57.6,Silt,0.67,1.25,17.04,52.48,1211.58,8.97,17.42,Central,910,Zaid,Rainfed,276.81,Wheat,Barley
109,51,116,6.13,35.06,Loamy,0.48,1.57,28.87,66.29,876.25,9.68,4.42,South,1548,Rabi,Rainfed,273.03,Cotton,Wheat
72,81,61,5.8,40.25,Clay,0.83,1.75,31.85,75.02,2439.53,4.07,4.99,West,14,Zaid,Rainfed,145.56,Maize,Rice
149,74,48,6.84,40.47,Loamy,0.25,0.27,38.36,40.0,1482.03,4.38,12.83,North,1999,Zaid,Canal,105.17,Rice,Sugarcane
103,62,69,5.71,49.07,Silt,0.98,2.78,22.27,57.46,1912.88,6.68,7.06,North,1509,Kharif,Canal,102.96,Cotton,Rice
111,16,103,7.05,51.15,Silt,0.52,2.38,31.17,39.77,235.2,9.24,9.38,West,152,Zaid,Drip,188.93,Vegetables,Millet
130,14,108,5.97,11.36,Clay,0.98,1.38,35.01,68.0,1403.81,7.83,11.07,West,374,Rabi,Drip,235.99,Maize,Sugarcane
27,33,60,7.94,46.67,Silt,1.0,1.69,34.94,76.33,243.22,11.51,18.69,West,320,Zaid,Drip,159.11,Wheat,Millet
54,37,93,7.04,49.19,Clay,1.25,0.19,11.03,80.0,2404.8,6.06,5.95,West,2107,Zaid,Rainfed,64.61,Wheat,Wheat
100,71,25,5.36,45.02,Silt,0.5,1.54,20.67,73.94,897.9,4.83,1.85,West,61,Kharif,Sprinkler,187.69,Wheat,Barley
69,26,107,5.84,45.68,Sandy,0.8,1.34,10.4,39.55,667.94,4.91,3.2,East,2088,Zaid,Drip,247.94,Wheat,Cotton
123,29,23,7.89,12.07,Clay,1.45,1.19,26.77,79.7,2793.9,5.8,1.98,West,1180,Kharif,Canal,222.67,Vegetables,Rice
151,12,99,6.05,32.1,Loamy,1.15,2.46,35.95,50.06,250.42,5.89,15.33,East,1282,Kharif,Drip,143.82,Cotton,Millet
21,46,93,6.64,50.91,Clay,1.47,0.63,34.45,80.15,753.9,7.03,19.64,Central,155,Zaid,Rainfed,201.91,Rice,Millet
153,24,51,7.1,56.7,Silt,1.41,0.61,34.34,45.05,873.36,8.51,2.52,North,1366,Rabi,Rainfed,88.06,Pulses,Barley
73,60,60,5.89,21.47,Silt,0.99,1.61,20.56,58.54,2503.85,5.99,6.41,West,2097,Zaid,Drip,166.7,Vegetables,Rice
125,57,33,5.68,38.96,Silt,0.54,2.09,11.39,64.59,2188.23,8.12,17.22,Central,1951,Kharif,Canal,105.07,Maize,Sugarcane
23,17,116,6.4,50.22,Loamy,1.18,0.17,15.17,32.08,2908.74,7.82,18.05,South,1939,Rabi,Drip,299.73,Maize,Wheat
73,22,91,5.36,47.62,Loamy,1.11,1.68,30.12,84.22,2145.6,6.47,5.11,East,1688,Rabi,Sprinkler,168.37,Pulses,Rice
63,57,52,5.64,40.94,Silt,0.97,0.97,14.02,60.69,861.69,7.47,18.46,West,9,Rabi,Drip,193.53,Cotton,Barley
33,12,82,4.75,10.93,Sandy,1.11,2.29,13.76,41.52,667.14,7.07,11.98,Central,207,Zaid,Rainfed,122.65,Pulses,Cotton
114,74,28,5.72,46.19,Clay,1.0,1.46,20.61,39.65,2315.14,11.6,19.91,West,962,Zaid,Drip,263.42,Wheat,Rice
67,82,93,5.78,48.66,Silt,0.88,2.52,12.84,71.19,2722.53,4.55,1.43,North,1690,Rabi,Drip,250.17,Vegetables,Wheat
34,40,70,8.35,46.14,Sandy,0.74,1.25,19.89,34.9,2752.68,10.14,15.93,West,414,Kharif,Drip,108.21,Vegetables,Wheat
59,35,115,6.86,48.29,Loamy,0.26,2.5,39.09,56.39,2359.07,6.48,2.05,South,1681,Zaid,Rainfed,80.94,Wheat,Rice
101,65,103,7.65,31.55,Silt,1.33,2.18,10.6,62.42,2424.23,5.48,14.95,East,1492,Kharif,Rainfed,86.3,Vegetables,Wheat
130,43,72,4.68,59.69,Clay,1.33,2.5,34.92,43.99,2054.63,10.97,18.94,South,782,Rabi,Rainfed,193.19,Wheat,Rice
72,18,35,4.93,48.54,Clay,0.97,2.46,39.81,37.75,2260.32,7.76,7.21,North,318,Rabi,Drip,342.62,Cotton,Rice
43,71,104,7.76,38.93,Loamy,0.55,1.51,23.09,59.44,524.94,8.08,7.44,West,1826,Rabi,Canal,303.61,Cotton,Barley
143,22,44,6.99,56.71,Silt,0.24,1.17,38.29,50.42,1121.78,7.33,5.55,West,1061,Kharif,Sprinkler,191.02,Vegetables,Sugarcane
60,78,76,5.26,55.41,Silt,0.2,2.32,17.83,38.41,1482.68,7.24,9.19,North,650,Kharif,Drip,251.9,Cotton,Pulses
34,50,65,6.12,50.73,Silt,0.29,1.15,39.47,42.62,2060.1,9.54,9.98,West,512,Kharif,Drip,180.7,Pulses,Rice
64,86,49,6.65,38.18,Sandy,0.67,0.36,35.85,58.26,1369.51,10.08,11.87,West,1079,Zaid,Drip,345.91,Wheat,Rice
84,10,38,7.87,36.36,Sandy,0.44,2.59,36.54,37.98,1249.99,10.31,14.08,West,989,Zaid,Sprinkler,165.44,Cotton,Barley
108,56,15,4.74,26.44,Silt,0.54,1.25,13.91,86.17,1778.07,8.2,12.74,Central,2385,Kharif,Sprinkler,341.39,Maize,Sugarcane
90,13,61,6.89,22.54,Clay,1.11,0.48,36.1,76.53,1304.4,9.62,2.88,Central,668,Kharif,Rainfed,290.85,Rice,Pulses
28,72,10,7.37,35.62,Sandy,1.45,1.97,38.25,49.53,403.11,10.22,13.01,East,1126,Kharif,Rainfed,169.66,Vegetables,Millet
107,61,61,8.41,38.89,Clay,0.47,2.68,34.57,45.5,2914.37,9.47,4.66,North,1249,Rabi,Rainfed,302.06,Maize,Rice
148,19,33,7.73,22.23,Sandy,0.81,2.6,12.74,82.46,2793.25,5.55,11.16,South,1391,Zaid,Sprinkler,232.19,Maize,Wheat
155,37,111,5.6,56.13,Loamy,1.49,1.71,12.54,55.62,309.22,9.69,12.16,North,1228,Zaid,Rainfed,253.77,Rice,Cotton
82,15,43,7.34,37.86,Loamy,1.41,0.36,20.73,81.76,1681.72,9.19,9.29,West,689,Rabi,Rainfed,96.17,Wheat,Rice
158,36,16,7.55,36.33,Loamy,0.66,2.12,31.15,74.55,2195.77,4.77,8.94,West,1766,Kharif,Sprinkler,292.25,Wheat,Rice
100,21,84,7.42,31.78,Clay,0.62,1.87,10.37,35.53,1907.62,9.17,9.08,North,1439,Zaid,Canal,151.62,Rice,Wheat
155,71,20,7.78,12.9,Clay,0.51,0.71,38.52,78.82,1189.48,11.0,5.46,West,1455,Rabi,Drip,107.76,Maize,Sugarcane
52,61,45,8.11,54.12,Silt,0.4,2.71,25.76,62.39,2449.17,7.31,16.26,East,2378,Kharif,Rainfed,295.0,Cotton,Rice
142,57,29,4.89,25.85,Silt,0.8,0.35,20.75,70.66,1921.29,5.07,10.23,South,379,Rabi,Canal,304.17,Maize,Rice
24,76,72,4.92,42.12,Loamy,0.64,1.18,26.84,43.14,869.0,8.89,10.6,West,52,Zaid,Sprinkler,308.71,Vegetables,Maize
60,55,89,7.69,40.37,Loamy,1.17,0.37,31.47,30.02,1911.45,5.91,4.51,Central,836,Rabi,Canal,314.33,Vegetables,Rice
47,83,72,5.51,39.22,Sandy,0.51,2.74,18.2,50.02,969.08,8.36,10.03,West,1407,Kharif,Canal,296.86,Rice,Cotton
154,24,78,4.73,36.29,Loamy,1.16,0.2,18.73,41.44,1868.38,9.35,9.31,West,1821,Zaid,Rainfed,132.11,Rice,Sugarcane
91,80,97,6.1,19.07,Loamy,0.57,1.33,24.05,56.11,2340.09,8.08,8.87,West,2435,Zaid,Sprinkler,229.52,Vegetables,Rice
31,45,39,7.78,24.03,Loamy,0.97,2.6,30.1,35.45,1047.12,6.47,9.48,North,71,Zaid,Rainfed,182.1,Wheat,Pulses
52,23,39,5.01,36.21,Clay,1.03,0.83,31.19,83.7,991.06,10.86,5.68,North,1271,Zaid,Sprinkler,174.46,Rice,Barley
67,87,112,7.19,49.47,Clay,1.07,0.4,19.72,37.12,2234.77,5.09,16.1,North,1933,Rabi,Canal,242.78,Wheat,Wheat
81,12,110,4.51,31.6,Loamy,0.43,0.47,19.67,75.85,1623.44,4.34,4.71,Central,1098,Rabi,Drip,273.11,Cotton,Wheat
56,76,106,4.94,20.2,Sandy,0.57,1.27,24.61,86.36,588.64,10.63,11.25,East,734,Zaid,Drip,250.89,Pulses,Cotton
118,28,93,5.9,14.4,Sandy,0.52,1.34,26.26,38.89,1727.95,4.27,7.13,East,1512,Zaid,Canal,159.4,Pulses,Rice
123,85,31,4.83,43.15,Silt,0.95,2.18,29.48,50.79,2056.99,7.9,14.66,North,1906,Rabi,Drip,326.87,Vegetables,Rice
54,63,114,7.88,31.17,Loamy,0.3,0.79,28.53,73.86,1575.68,8.3,14.13,West,346,Kharif,Drip,121.41,Wheat,Rice
120,78,70,7.96,16.27,Clay,0.87,2.14,21.18,72.87,1947.65,6.71,14.27,North,761,Zaid,Rainfed,65.39,Wheat,Rice
150,19,30,7.52,43.72,Loamy,0.31,3.0,18.91,32.24,1221.59,6.21,17.82,West,516,Zaid,Canal,71.67,Maize,Wheat
20,42,46,5.47,20.38,Sandy,0.64,2.61,19.24,34.24,2657.88,9.92,15.83,Central,880,Kharif,Rainfed,62.25,Cotton,Maize
24,22,36,6.59,35.45,Clay,1.09,1.94,29.36,37.21,871.9,6.93,7.26,West,861,Zaid,Drip,335.42,Wheat,Potato
122,60,111,5.24,25.31,Clay,0.74,2.83,22.99,64.08,987.77,4.99,8.48,West,893,Rabi,Canal,131.33,Maize,Potato
46,41,44,5.63,56.58,Clay,0.56,2.97,14.03,33.3,2366.25,7.71,17.48,East,1676,Kharif,Sprinkler,237.87,Wheat,Tomato
156,84,47,6.56,21.41,Silt,1.0,1.75,10.18,65.3,362.0,9.81,16.65,West,2332,Zaid,Canal,269.88,Maize,Wheat
34,33,113,7.44,31.0,Loamy,1.16,0.89,10.89,50.55,2964.66,6.46,18.5,North,1452,Kharif,Drip,328.24,Cotton,Wheat
109,44,69,4.88,57.97,Loamy,0.53,2.75,36.03,70.16,1961.24,5.06,16.93,South,1357,Rabi,Canal,244.78,Wheat,Rice
61,79,79,5.69,25.94,Loamy,0.59,2.55,23.73,76.92,2460.85,6.73,3.46,Central,853,Kharif,Canal,101.96,Vegetables,Rice
143,49,41,8.21,42.23,Sandy,1.03,0.35,29.72,77.48,1835.04,8.36,7.27,South,400,Kharif,Drip,152.11,Wheat,Rice
82,63,89,6.22,25.84,Clay,1.45,2.82,37.87,32.26,2401.72,4.81,6.56,Central,210,Rabi,Canal,61.7,Cotton,Rice
115,53,101,8.26,15.53,Clay,0.48,1.16,13.79,86.83,1415.76,5.88,8.2,North,2477,Zaid,Canal,120.49,Maize,Wheat
71,71,89,8.47,41.38,Sandy,1.05,1.03,23.43,65.2,1814.88,11.77,6.55,North,1780,Kharif,Sprinkler,116.56,Rice,Rice
115,77,36,6.61,55.8,Silt,1.38,1.1,26.17,83.74,2053.39,5.63,15.91,South,2280,Rabi,Sprinkler,132.34,Cotton,Rice
151,42,12,5.65,32.63,Sandy,0.8,1.03,35.25,66.91,2725.4,4.51,14.32,East,1269,Kharif,Canal,317.86,Rice,Rice
48,86,58,7.66,41.31,Clay,0.61,1.6,39.81,59.05,297.36,7.46,4.78,Central,1507,Rabi,Sprinkler,227.76,Rice,Millet
55,65,94,5.14,40.44,Silt,1.07,1.78,31.35,73.78,504.95,4.59,4.42,East,2038,Rabi,Drip,257.93,Maize,Millet
32,45,111,5.51,30.75,Silt,0.24,1.33,29.26,43.17,2133.81,4.11,5.14,North,758,Rabi,Canal,241.44,Maize,Rice
90,63,111,7.64,40.74,Clay,0.67,1.3,37.61,36.19,1164.21,4.12,6.97,West,2198,Kharif,Canal,66.57,Maize,Wheat
105,28,39,6.23,22.97,Sandy,0.54,2.24,35.12,35.43,2097.65,6.37,13.97,Central,2342,Kharif,Sprinkler,205.08,Cotton,Rice
47,52,31,5.31,28.9,Loamy,0.49,0.11,35.95,80.95,837.66,4.59,8.01,Central,253,Rabi,Canal,243.53,Rice,Barley
85,21,28,7.1,32.12,Loamy,0.43,2.85,10.08,84.75,1959.13,5.54,9.06,North,1957,Rabi,Canal,307.2,Pulses,Wheat
64,20,40,7.43,53.2,Loamy,1.16,2.17,25.43,78.86,1538.72,9.19,1.8,East,2151,Zaid,Sprinkler,322.4,Cotton,Rice
81,79,29,5.0,27.42,Sandy,1.44,2.15,33.48,84.27,544.17,6.31,10.12,West,118,Rabi,Sprinkler,116.3,Pulses,Millet
153,21,28,5.61,41.76,Clay,0.7,1.32,15.44,89.09,2802.4,8.6,9.39,South,1995,Kharif,Drip,106.19,Vegetables,Sugarcane
47,50,11,5.39,20.67,Sandy,0.26,2.9,32.54,61.56,2418.15,7.29,13.99,West,1578,Kharif,Drip,192.11,Cotton,Rice
47,34,49,6.02,22.63,Loamy,1.13,0.1,10.27,39.23,2387.01,11.08,4.83,East,1573,Zaid,Rainfed,174.12,Rice,Wheat
127,12,48,7.55,42.42,Loamy,0.9,0.32,27.26,66.48,2151.39,9.57,14.73,North,2169,Zaid,Drip,277.72,Maize,Rice
63,12,100,7.35,48.12,Loamy,1.14,2.43,35.54,51.23,259.78,10.82,14.64,West,1613,Kharif,Rainfed,159.58,Rice,Millet
103,37,81,7.15,33.11,Sandy,1.04,2.24,22.94,50.79,1612.94,8.15,12.83,South,205,Rabi,Sprinkler,343.38,Maize,Rice
49,32,118,4.53,26.75,Sandy,1.38,0.89,32.18,73.67,2302.69,10.25,7.8,East,1902,Rabi,Canal,242.13,Cotton,Rice
94,57,63,5.07,55.51,Loamy,0.38,1.82,25.91,35.44,806.9,8.92,2.12,West,1856,Kharif,Canal,117.77,Rice,Rice
147,76,36,5.39,16.79,Silt,0.42,1.64,29.42,32.25,1922.74,9.95,5.5,West,1788,Kharif,Rainfed,163.1,Wheat,Rice
111,51,88,5.59,46.04,Loamy,0.64,1.63,25.5,71.72,2802.55,9.48,18.67,West,1247,Rabi,Drip,249.09,Wheat,Rice
148,49,21,5.09,44.51,Clay,0.84,1.83,24.28,45.64,2308.21,6.4,17.71,North,106,Rabi,Sprinkler,233.22,Pulses,Rice
140,15,87,6.14,44.51,Sandy,1.4,2.98,35.25,53.13,1733.39,5.0,4.75,West,1738,Kharif,Drip,269.88,Maize,Rice
46,29,80,4.8,56.77,Silt,1.38,2.96,12.78,48.46,1067.79,10.45,7.1,North,264,Rabi,Rainfed,176.85,Wheat,Potato
140,20,26,7.5,46.41,Silt,1.33,2.95,27.54,66.89,1982.31,4.62,1.19,South,451,Kharif,Drip,276.64,Maize,Rice
135,36,99,7.65,25.08,Clay,0.49,1.69,13.44,39.27,2200.33,8.84,6.9,North,80,Rabi,Canal,172.77,Rice,Wheat
22,30,110,6.8,27.67,Loamy,1.15,1.02,26.88,73.24,1985.76,11.91,16.21,South,2367,Zaid,Rainfed,94.57,Maize,Rice
122,22,93,4.86,29.56,Loamy,0.7,1.72,38.91,85.5,2315.17,5.46,11.85,Central,1466,Rabi,Rainfed,84.15,Pulses,Rice
156,44,19,8.06,11.54,Loamy,1.41,1.91,11.71,80.17,981.89,9.95,17.51,Central,1816,Zaid,Rainfed,338.43,Cotton,Wheat
81,56,28,8.36,55.68,Clay,0.48,1.0,22.66,84.42,1621.87,11.63,19.27,South,1120,Zaid,Sprinkler,65.09,Rice,Rice
70,37,91,5.31,13.68,Sandy,0.38,1.94,34.06,86.22,1736.28,7.96,5.2,North,643,Kharif,Canal,253.64,Vegetables,Rice
78,30,39,7.32,44.99,Sandy,1.3,1.9,21.09,52.34,451.68,8.58,11.54,North,1002,Zaid,Rainfed,338.76,Pulses,Cotton
137,27,39,7.87,46.51,Clay,1.13,2.72,25.61,77.74,694.32,6.94,15.35,East,1996,Kharif,Sprinkler,177.55,Cotton,Millet
115,40,34,6.66,52.19,Sandy,1.27,0.79,13.44,59.69,1058.54,7.53,12.81,Central,1915,Rabi,Sprinkler,267.24,Rice,Wheat
132,69,97,5.79,37.67,Clay,0.41,2.12,16.69,46.19,333.72,9.04,5.94,North,2332,Kharif,Canal,190.06,Cotton,Wheat
81,46,83,6.41,46.26,Clay,1.35,1.41,30.59,74.81,854.09,10.97,19.57,East,1187,Rabi,Sprinkler,330.18,Vegetables,Potato
71,30,75,6.55,25.14,Silt,1.08,0.48,34.86,44.65,1662.04,11.62,13.81,Central,192,Kharif,Drip,176.1,Rice,Rice
31,23,111,6.1,47.28,Silt,1.05,1.02,29.39,36.58,1716.89,8.35,1.19,North,582,Rabi,Canal,97.3,Pulses,Rice
58,69,105,8.22,27.17,Sandy,0.96,0.27,35.11,72.28,898.4,10.26,10.81,South,943,Zaid,Canal,157.56,Cotton,Cotton
149,32,44,7.48,55.14,Silt,1.19,1.03,28.17,47.25,2850.17,9.89,4.15,West,549,Rabi,Rainfed,326.31,Wheat,Rice
150,38,60,5.47,18.17,Sandy,0.74,0.3,34.31,48.36,1508.07,5.98,14.74,West,168,Rabi,Canal,226.73,Rice,Rice
132,56,110,6.84,25.79,Clay,0.37,2.78,39.49,82.87,1984.37,7.69,2.24,Central,2411,Kharif,Canal,132.13,Cotton,Rice
120,39,80,7.25,34.94,Sandy,0.9,0.4,12.48,38.13,285.01,9.47,7.47,East,1981,Kharif,Drip,188.62,Pulses,Wheat
132,47,80,5.06,48.79,Silt,1.17,2.47,24.39,75.89,1317.71,5.03,6.96,Central,884,Zaid,Canal,216.71,Vegetables,Sugarcane
100,36,36,5.93,47.44,Sandy,0.4,2.73,15.7,53.17,1717.9,11.07,17.94,East,1806,Zaid,Canal,60.55,Vegetables,Maize
132,24,19,8.12,20.54,Silt,0.49,1.46,23.96,83.58,1074.31,7.22,17.6,South,2365,Kharif,Sprinkler,273.99,Maize,Sugarcane
21,68,106,6.77,17.21,Clay,1.11,0.26,24.99,56.42,679.84,7.63,16.64,West,561,Zaid,Drip,83.77,Maize,Wheat
149,12,52,5.37,25.2,Loamy,0.55,1.83,28.66,54.54,763.21,10.96,15.18,North,1651,Rabi,Sprinkler,332.49,Wheat,Millet
73,19,64,4.99,34.19,Clay,0.42,0.78,23.18,55.79,1506.34,5.38,19.14,East,30,Kharif,Sprinkler,214.69,Cotton,Rice
106,88,80,6.57,36.95,Silt,1.36,0.61,19.74,80.26,398.84,4.28,4.63,North,1290,Zaid,Sprinkler,63.95,Vegetables,Wheat
148,89,15,6.69,31.46,Sandy,0.41,1.74,11.3,30.63,856.49,6.29,16.58,East,2167,Rabi,Rainfed,227.21,Cotton,Wheat
145,26,15,5.84,43.15,Silt,0.65,1.13,11.04,72.29,2214.71,5.2,13.8,North,124,Zaid,Rainfed,143.94,Vegetables,Sugarcane
149,20,86,7.02,31.38,Silt,0.76,2.22,15.25,42.31,801.27,11.88,14.33,West,1634,Zaid,Sprinkler,328.19,Vegetables,Wheat
72,57,57,4.77,57.32,Loamy,0.82,1.81,23.47,82.93,527.42,8.53,9.11,Central,1693,Kharif,Canal,172.56,Vegetables,Wheat
87,14,86,5.08,23.05,Sandy,0.67,2.51,22.53,52.56,434.53,8.52,13.39,West,60,Zaid,Sprinkler,162.2,Vegetables,Cotton
142,78,11,6.69,41.37,Silt,1.39,0.27,15.72,50.34,2968.44,10.35,5.51,East,1955,Rabi,Rainfed,321.49,Wheat,Wheat
57,73,92,4.75,40.57,Clay,1.06,0.78,34.67,72.76,443.22,6.07,11.07,West,1686,Zaid,Rainfed,190.34,Cotton,Millet
43,23,60,8.02,24.08,Clay,0.67,1.74,30.5,73.35,1413.8,8.18,19.44,Central,1550,Kharif,Sprinkler,281.59,Pulses,Cotton
88,59,70,5.07,30.58,Silt,0.67,2.65,20.29,68.02,1631.0,5.14,14.01,Central,764,Kharif,Sprinkler,219.6,Cotton,Rice
135,35,28,7.2,28.27,Silt,0.85,2.46,33.91,49.79,2900.81,4.75,13.83,North,805,Kharif,Drip,223.9,Rice,Rice
117,81,111,6.06,18.62,Silt,0.24,2.07,39.68,66.62,2695.08,7.52,5.47,South,1511,Rabi,Drip,54.8,Vegetables,Rice
158,78,11,6.1,33.86,Silt,1.4,1.76,17.35,33.26,865.5,11.3,16.98,South,1317,Rabi,Sprinkler,125.38,Rice,Wheat
116,16,60,7.56,29.33,Clay,0.49,1.93,20.88,87.31,437.16,7.53,18.54,East,2070,Zaid,Sprinkler,186.05,Cotton,Wheat
143,25,35,6.5,18.92,Loamy,1.11,0.72,39.79,57.16,1426.2,7.61,3.06,East,58,Kharif,Sprinkler,128.87,Rice,Sugarcane
89,64,79,7.4,32.49,Silt,1.21,1.83,14.14,48.27,482.56,10.92,9.6,South,2308,Kharif,Sprinkler,204.72,Maize,Wheat
112,87,29,6.52,31.09,Sandy,1.28,1.53,12.32,81.65,2639.1,6.29,13.65,East,1688,Kharif,Sprinkler,325.62,Pulses,Wheat
22,65,32,6.87,16.57,Loamy,0.42,1.21,25.63,49.45,2170.57,7.92,17.79,Central,265,Zaid,Rainfed,254.74,Rice,Rice
109,13,63,7.54,16.56,Clay,0.9,2.67,24.05,89.83,2842.6,5.32,11.2,South,879,Zaid,Sprinkler,336.53,Pulses,Rice
